Facility ID,State,Hospitalization type,Payment comparison,Denominator,Payment,Value of care
140019,IL,heart failure,No Different,68,16655,Average Mortality
310084,NJ,pneumonia,Greater,467,22541,Average Mortality
50335,CA,hip/knee replacement,Less,354,18181,Worse Complications
180002,KY,pneumonia,No Different,304,18192,Average Mortality
340075,NC,heart attack,No Different,71,23313,Average Mortality
310075,NJ,heart attack,Greater,146,28565,Average Mortality
31317,AZ,heart failure,No Different,48,17125,Average Mortality
160001,IA,pneumonia,No Different,180,18245,Average Mortality
150048,IN,heart failure,No Different,713,17440,Worse Mortality
360355,OH,hip/knee replacement,Greater,175,22953,Average Complications
100220,FL,hip/knee replacement,No Different,1026,21284,Better Complications
100113,FL,pneumonia,Greater,848,19262,Better Mortality
381318,OR,hip/knee replacement,Greater,169,22248,Average Complications
340015,NC,heart failure,No Different,259,16835,Average Mortality
30094,AZ,heart attack,No Different,261,27332,Average Mortality
100315,FL,heart attack,No Different,42,27219,Average Mortality
50058,CA,pneumonia,Greater,497,20720,Better Mortality
140209,IL,pneumonia,No Different,500,18542,Average Mortality
320030,NM,pneumonia,No Different,76,16748,Average Mortality
210022,MD,hip/knee replacement,Greater,1303,21628,Average Complications
160110,IA,pneumonia,No Different,348,18144,Average Mortality
260177,MO,heart failure,No Different,266,17783,Worse Mortality
340142,NC,heart attack,No Different,220,23853,Average Mortality
381320,OR,pneumonia,Less,116,15315,Average Mortality
210060,MD,heart failure,No Different,158,18729,Average Mortality
190151,LA,pneumonia,No Different,100,16508,Average Mortality
100236,FL,heart attack,No Different,346,25348,Average Mortality
240057,MN,heart failure,Greater,565,20305,Average Mortality
170197,KS,pneumonia,No Different,93,19130,Average Mortality
260009,MO,pneumonia,Less,278,16530,Average Mortality
230019,MI,hip/knee replacement,Less,1127,17818,Average Complications
30085,AZ,pneumonia,No Different,444,18102,Worse Mortality
110229,GA,heart attack,No Different,116,25319,Average Mortality
40137,AR,heart attack,No Different,61,27660,Average Mortality
220063,MA,heart failure,No Different,938,17135,Average Mortality
41312,AR,hip/knee replacement,No Different,99,19683,Average Complications
360032,OH,heart failure,Less,143,15477,Average Mortality
100243,FL,hip/knee replacement,No Different,238,20424,Average Complications
141322,IL,pneumonia,No Different,117,17767,Average Mortality
291314,NV,pneumonia,No Different,38,18901,Average Mortality
281364,NE,heart failure,No Different,44,17921,Average Mortality
100126,FL,hip/knee replacement,Greater,214,24217,Average Complications
280129,NE,hip/knee replacement,Less,1414,19358,Average Complications
110043,GA,heart failure,No Different,368,17237,Average Mortality
10090,AL,heart attack,No Different,206,24447,Average Mortality
100319,FL,hip/knee replacement,Less,383,19456,Average Complications
140143,IL,pneumonia,No Different,205,19211,Average Mortality
50517,CA,heart failure,No Different,50,16438,Average Mortality
261333,MO,pneumonia,Less,86,16334,Average Mortality
210061,MD,pneumonia,No Different,385,18315,Average Mortality
210015,MD,pneumonia,Less,881,17489,Average Mortality
130018,ID,heart attack,No Different,297,24130,Average Mortality
340116,NC,hip/knee replacement,Less,278,18786,Average Complications
161351,IA,heart failure,No Different,55,19645,Average Mortality
100070,FL,pneumonia,Greater,631,19955,Worse Mortality
220135,MA,pneumonia,No Different,754,18643,Average Mortality
70002,CT,hip/knee replacement,Less,2112,19518,Average Complications
21311,AK,hip/knee replacement,Less,63,18075,Average Complications
281304,NE,pneumonia,No Different,41,20062,Average Mortality
360051,OH,hip/knee replacement,Less,480,19835,Average Complications
100032,FL,pneumonia,Greater,237,21571,Average Mortality
241355,MN,heart failure,No Different,29,18206,Average Mortality
330331,NY,heart failure,Greater,504,19948,Average Mortality
361324,OH,hip/knee replacement,No Different,27,19590,Average Complications
100206,FL,hip/knee replacement,No Different,108,21159,Average Complications
330194,NY,pneumonia,Greater,1456,19735,Better Mortality
241380,MN,pneumonia,No Different,46,16440,Average Mortality
171361,KS,heart failure,No Different,28,18226,Average Mortality
110064,GA,heart attack,No Different,73,24549,Average Mortality
360159,OH,heart attack,No Different,239,25478,Average Mortality
250019,MS,pneumonia,Greater,802,21965,Average Mortality
330125,NY,hip/knee replacement,No Different,247,21103,Average Complications
230195,MI,hip/knee replacement,No Different,267,20912,Average Complications
110005,GA,heart attack,No Different,247,25867,Average Mortality
100151,FL,pneumonia,No Different,561,18826,Average Mortality
110153,GA,heart failure,No Different,49,16099,Average Mortality
80006,DE,hip/knee replacement,Less,299,19727,Average Complications
330128,NY,heart failure,Less,183,15594,Average Mortality
100019,FL,pneumonia,Greater,1069,19088,Average Mortality
321307,NM,heart failure,Greater,41,21118,Average Mortality
210032,MD,hip/knee replacement,Greater,156,23042,Average Complications
330245,NY,pneumonia,Less,535,16039,Average Mortality
151304,IN,pneumonia,Less,94,16225,Average Mortality
51304,CA,heart failure,No Different,27,17874,Average Mortality
100292,FL,heart attack,No Different,97,26686,Average Mortality
50557,CA,heart attack,Greater,311,28483,Average Mortality
250069,MS,pneumonia,Greater,261,24424,Worse Mortality
10011,AL,pneumonia,No Different,369,18197,Average Mortality
310096,NJ,pneumonia,Greater,228,24008,Better Mortality
180011,KY,heart failure,No Different,341,16875,Average Mortality
130049,ID,hip/knee replacement,Less,657,19773,Average Complications
50324,CA,hip/knee replacement,Greater,461,21944,Average Complications
50485,CA,heart attack,No Different,177,24469,Average Mortality
340028,NC,heart attack,Less,508,23773,Average Mortality
140049,IL,pneumonia,No Different,125,19510,Average Mortality
330096,NY,hip/knee replacement,No Different,27,19441,Average Complications
50169,CA,heart failure,No Different,370,18119,Better Mortality
361314,OH,pneumonia,No Different,65,17986,Average Mortality
100166,FL,hip/knee replacement,Greater,1606,21694,Better Complications
361333,OH,pneumonia,No Different,77,18064,Average Mortality
201304,ME,heart failure,No Different,38,17447,Average Mortality
181309,KY,heart failure,No Different,47,17161,Average Mortality
171365,KS,pneumonia,Greater,40,21876,Average Mortality
110083,GA,hip/knee replacement,Less,684,18061,Average Complications
150157,IN,hip/knee replacement,No Different,100,20638,Average Complications
70024,CT,hip/knee replacement,Greater,392,22223,Average Complications
370023,OK,hip/knee replacement,No Different,355,20282,Average Complications
170068,KS,heart attack,No Different,28,26629,Average Mortality
360359,OH,hip/knee replacement,Less,472,19151,Average Complications
100156,FL,heart attack,No Different,132,25496,Average Mortality
181329,KY,heart failure,No Different,63,16565,Average Mortality
70024,CT,heart failure,No Different,412,18138,Average Mortality
40062,AR,hip/knee replacement,Greater,767,22776,Average Complications
100299,FL,hip/knee replacement,Less,508,19771,Average Complications
50043,CA,heart failure,No Different,527,18525,Average Mortality
141339,IL,heart failure,No Different,72,18133,Average Mortality
241330,MN,pneumonia,No Different,33,16908,Average Mortality
260162,MO,pneumonia,No Different,49,18373,Average Mortality
101313,FL,heart failure,No Different,34,18068,Average Mortality
120002,HI,hip/knee replacement,Less,36,18128,Average Complications
330279,NY,hip/knee replacement,Less,68,19256,Average Complications
80003,DE,heart failure,No Different,155,16901,Average Mortality
341324,NC,pneumonia,No Different,108,16797,Average Mortality
281341,NE,pneumonia,No Different,41,16598,Average Mortality
340069,NC,heart failure,Less,1034,16864,Average Mortality
231328,MI,pneumonia,Less,58,15197,Average Mortality
100038,FL,heart failure,No Different,489,18430,Average Mortality
141339,IL,hip/knee replacement,Less,48,18305,Average Complications
340091,NC,heart failure,Less,1287,16123,Average Mortality
140210,IL,pneumonia,Less,240,16977,Average Mortality
340144,NC,pneumonia,Less,95,16332,Average Mortality
351324,ND,heart failure,No Different,38,17589,Average Mortality
131302,ID,heart failure,Greater,35,20942,Average Mortality
50329,CA,heart attack,No Different,55,26418,Average Mortality
190064,LA,heart failure,Less,835,16259,Worse Mortality
190125,LA,pneumonia,Greater,610,20310,Average Mortality
370202,OK,heart failure,No Different,444,17767,Better Mortality
100284,FL,heart attack,No Different,31,25664,Average Mortality
260095,MO,hip/knee replacement,No Different,386,21442,Average Complications
60064,CO,heart failure,No Different,177,19099,Average Mortality
340016,NC,heart failure,No Different,114,18470,Average Mortality
340090,NC,heart attack,No Different,144,24369,Average Mortality
60003,CO,heart failure,No Different,166,17692,Average Mortality
100075,FL,pneumonia,Greater,1362,19721,Average Mortality
330182,NY,hip/knee replacement,Greater,1280,21832,Average Complications
10144,AL,pneumonia,No Different,306,17765,Average Mortality
230089,MI,hip/knee replacement,No Different,479,20474,Average Complications
380027,OR,pneumonia,Less,428,16258,Average Mortality
290032,NV,heart attack,No Different,102,24599,Average Mortality
330059,NY,pneumonia,No Different,1127,17710,Better Mortality
190251,LA,hip/knee replacement,No Different,40,19862,Average Complications
171384,KS,heart failure,No Different,106,19575,Average Mortality
50444,CA,heart attack,No Different,99,25076,Average Mortality
340015,NC,heart attack,No Different,139,23981,Average Mortality
350019,ND,pneumonia,Greater,677,19875,Average Mortality
250001,MS,heart failure,No Different,333,16797,Average Mortality
220008,MA,hip/knee replacement,Greater,296,22714,Average Complications
200024,ME,heart attack,No Different,285,24709,Average Mortality
110042,GA,heart attack,No Different,65,25912,Average Mortality
370097,OK,heart failure,Less,123,15871,Average Mortality
100073,FL,heart failure,No Different,522,18300,Average Mortality
110050,GA,pneumonia,Less,128,16603,Average Mortality
50590,CA,heart failure,No Different,242,17664,Average Mortality
261309,MO,pneumonia,No Different,60,17592,Average Mortality
110177,GA,heart failure,Less,240,16148,Average Mortality
250049,MS,pneumonia,No Different,66,16677,Average Mortality
141303,IL,pneumonia,No Different,45,17488,Average Mortality
100179,FL,hip/knee replacement,No Different,165,20633,Average Complications
140150,IL,heart failure,Less,163,15839,Average Mortality
160030,IA,hip/knee replacement,Less,431,20084,Average Complications
361326,OH,pneumonia,No Different,142,19245,Average Mortality
100173,FL,pneumonia,Greater,521,20549,Average Mortality
61321,CO,pneumonia,No Different,93,19207,Average Mortality
50696,CA,heart attack,No Different,28,25730,Average Mortality
60100,CO,pneumonia,No Different,341,19320,Average Mortality
60128,CO,heart attack,No Different,29,26865,Average Mortality
360077,OH,heart failure,No Different,811,17522,Better Mortality
50169,CA,heart attack,No Different,265,23797,Average Mortality
100176,FL,heart attack,No Different,245,27324,Average Mortality
140217,IL,heart failure,Greater,222,22711,Average Mortality
310008,NJ,heart failure,Greater,767,18734,Average Mortality
161358,IA,pneumonia,Less,68,15659,Average Mortality
230146,MI,pneumonia,Greater,519,20130,Average Mortality
230080,MI,heart attack,No Different,42,25091,Average Mortality
380040,OR,heart failure,No Different,136,16236,Average Mortality
260085,MO,hip/knee replacement,Less,202,19529,Average Complications
340041,NC,heart failure,No Different,146,19092,Average Mortality
161325,IA,hip/knee replacement,No Different,33,21175,Average Complications
370006,OK,heart failure,No Different,135,16872,Average Mortality
330004,NY,heart attack,No Different,74,26327,Average Mortality
40084,AR,hip/knee replacement,No Different,196,21647,Average Complications
40047,AR,pneumonia,No Different,124,18520,Average Mortality
30092,AZ,heart failure,No Different,230,19004,Average Mortality
160016,IA,heart attack,Greater,199,28057,Average Mortality
390003,PA,heart failure,No Different,49,16080,Average Mortality
310005,NJ,heart attack,No Different,91,27436,Average Mortality
280023,NE,heart attack,No Different,133,24919,Average Mortality
140167,IL,heart failure,No Different,42,19358,Average Mortality
370056,OK,heart failure,Less,396,16389,Average Mortality
230022,MI,hip/knee replacement,No Different,77,22413,Average Complications
361300,OH,pneumonia,Less,39,15325,Average Mortality
240213,MN,heart failure,No Different,122,17075,Average Mortality
140032,IL,heart failure,No Different,339,16627,Average Mortality
390006,PA,hip/knee replacement,No Different,284,21910,Average Complications
281316,NE,pneumonia,Greater,27,22031,Average Mortality
190041,LA,heart failure,Less,485,16089,Average Mortality
30092,AZ,hip/knee replacement,Less,377,19733,Average Complications
360008,OH,pneumonia,No Different,414,19308,Average Mortality
380037,OR,hip/knee replacement,Less,68,18905,Average Complications
140115,IL,heart failure,No Different,49,18234,Average Mortality
141335,IL,pneumonia,Less,34,14849,Average Mortality
50278,CA,hip/knee replacement,Greater,162,24284,Average Complications
380037,OR,heart failure,Less,119,14218,Average Mortality
250097,MS,heart failure,No Different,232,16986,Worse Mortality
331311,NY,heart failure,No Different,39,18560,Average Mortality
361313,OH,heart failure,No Different,40,17157,Average Mortality
70029,CT,pneumonia,No Different,273,18494,Average Mortality
260078,MO,heart failure,Less,197,16052,Average Mortality
100040,FL,hip/knee replacement,Less,1281,20316,Average Complications
41308,AR,pneumonia,No Different,42,17466,Average Mortality
50180,CA,hip/knee replacement,Less,921,19433,Average Complications
10029,AL,hip/knee replacement,No Different,666,20715,Average Complications
141347,IL,heart failure,No Different,61,17287,Average Mortality
100275,FL,pneumonia,Greater,285,20677,Average Mortality
291307,NV,heart failure,No Different,28,18283,Average Mortality
10056,AL,pneumonia,Greater,534,19419,Average Mortality
230100,MI,hip/knee replacement,No Different,100,21016,Average Complications
181315,KY,pneumonia,No Different,73,17391,Average Mortality
50492,CA,hip/knee replacement,Greater,238,22790,Average Complications
290009,NV,heart failure,Less,399,15832,Better Mortality
50394,CA,heart failure,No Different,295,18952,Average Mortality
241363,MN,heart failure,No Different,41,16157,Average Mortality
101308,FL,pneumonia,No Different,62,18452,Average Mortality
60004,CO,pneumonia,No Different,95,18070,Average Mortality
240050,MN,heart failure,No Different,80,18551,Average Mortality
221300,MA,hip/knee replacement,No Different,118,20007,Average Complications
230066,MI,heart attack,No Different,354,26145,Average Mortality
131321,ID,heart failure,No Different,38,15502,Average Mortality
150112,IN,pneumonia,No Different,448,18433,Average Mortality
180005,KY,pneumonia,Less,239,15878,Better Mortality
50625,CA,heart failure,Greater,1859,21143,Better Mortality
330084,NY,pneumonia,Less,128,16265,Average Mortality
260138,MO,heart failure,Greater,607,19736,Better Mortality
270017,MT,heart attack,No Different,85,24501,Average Mortality
140103,IL,pneumonia,No Different,82,18949,Average Mortality
220012,MA,hip/knee replacement,Greater,921,22557,Average Complications
50262,CA,heart attack,No Different,176,27863,Average Mortality
100252,FL,heart attack,No Different,111,25474,Average Mortality
110115,GA,heart attack,No Different,104,23126,Average Mortality
140117,IL,heart attack,Greater,499,29157,Better Mortality
70034,CT,heart failure,Greater,603,18822,Average Mortality
280077,NE,hip/knee replacement,No Different,119,19662,Average Complications
310075,NJ,pneumonia,Greater,333,20738,Average Mortality
370001,OK,pneumonia,No Different,478,19078,Average Mortality
140189,IL,pneumonia,Less,507,16502,Average Mortality
140200,IL,heart failure,Greater,996,18487,Better Mortality
290057,NV,heart failure,Greater,170,19365,Average Mortality
161317,IA,hip/knee replacement,No Different,28,21166,Average Complications
50043,CA,heart attack,No Different,306,24203,Average Mortality
151311,IN,hip/knee replacement,No Different,136,22073,Average Complications
10139,AL,heart failure,No Different,255,17610,Average Mortality
340130,NC,hip/knee replacement,No Different,208,20806,Average Complications
360145,OH,hip/knee replacement,No Different,310,20623,Average Complications
180095,KY,pneumonia,Less,110,15104,Average Mortality
360132,OH,heart attack,No Different,94,25885,Average Mortality
61326,CO,hip/knee replacement,No Different,45,21077,Average Complications
50107,CA,heart attack,No Different,213,25360,Average Mortality
381314,OR,heart failure,Less,88,15437,Worse Mortality
331305,NY,pneumonia,Less,39,15474,Average Mortality
50093,CA,pneumonia,Less,1417,17501,Average Mortality
141328,IL,pneumonia,Less,96,15072,Average Mortality
50239,CA,heart attack,Greater,314,29046,Average Mortality
70036,CT,hip/knee replacement,Greater,122,22877,Average Complications
220046,MA,hip/knee replacement,Greater,577,21630,Average Complications
10126,AL,hip/knee replacement,No Different,38,20572,Average Complications
180049,KY,heart failure,No Different,117,19403,Average Mortality
50763,CA,pneumonia,Greater,245,27077,Better Mortality
210027,MD,pneumonia,No Different,704,17612,Average Mortality
140054,IL,heart failure,No Different,232,17779,Average Mortality
370078,OK,heart attack,No Different,97,27873,Average Mortality
260180,MO,hip/knee replacement,No Different,71,20882,Average Complications
330013,NY,heart failure,Greater,458,19629,Average Mortality
190040,LA,pneumonia,Less,292,15453,Average Mortality
100028,FL,hip/knee replacement,Greater,180,24371,Average Complications
100135,FL,heart failure,Greater,609,19558,Average Mortality
330211,NY,hip/knee replacement,No Different,43,19625,Average Complications
30121,AZ,heart failure,Greater,157,19351,Average Mortality
230046,MI,heart attack,Less,315,23586,Average Mortality
50204,CA,heart attack,Less,138,23069,Average Mortality
231306,MI,heart failure,Less,29,15188,Average Mortality
100140,FL,hip/knee replacement,No Different,215,20649,Average Complications
240059,MN,heart failure,No Different,35,17126,Average Mortality
220030,MA,hip/knee replacement,Greater,49,23237,Average Complications
50771,CA,heart failure,Greater,114,21047,Average Mortality
130003,ID,hip/knee replacement,Less,318,19933,Worse Complications
140064,IL,pneumonia,No Different,256,19418,Worse Mortality
140068,IL,heart failure,No Different,42,18171,Average Mortality
10035,AL,hip/knee replacement,No Different,196,21353,Average Complications
161359,IA,heart failure,No Different,67,17732,Average Mortality
50054,CA,hip/knee replacement,Less,26,17146,Average Complications
370158,OK,heart failure,No Different,50,15872,Average Mortality
371306,OK,pneumonia,Greater,44,23586,Average Mortality
361329,OH,heart failure,No Different,35,17206,Average Mortality
110078,GA,heart attack,No Different,113,24770,Average Mortality
350006,ND,hip/knee replacement,Less,197,17416,Average Complications
150021,IN,heart failure,Less,599,16761,Average Mortality
351332,ND,heart failure,No Different,27,20341,Average Mortality
140046,IL,heart failure,No Different,321,17147,Average Mortality
340020,NC,hip/knee replacement,No Different,25,22435,Average Complications
151323,IN,pneumonia,No Different,59,18249,Average Mortality
50782,CA,heart failure,Greater,51,21787,Average Mortality
50485,CA,pneumonia,Greater,375,20715,Average Mortality
150168,IN,hip/knee replacement,Less,839,18383,Better Complications
370016,OK,pneumonia,Less,209,16620,Worse Mortality
240014,MN,pneumonia,No Different,43,17077,Average Mortality
140084,IL,pneumonia,Greater,357,20263,Average Mortality
50367,CA,heart failure,No Different,475,17969,Average Mortality
30007,AZ,heart failure,No Different,199,17160,Average Mortality
370235,OK,hip/knee replacement,No Different,899,20543,Average Complications
251305,MS,heart failure,No Different,30,16271,Average Mortality
200018,ME,heart failure,No Different,164,16383,Average Mortality
141317,IL,pneumonia,No Different,71,20385,Average Mortality
300017,NH,hip/knee replacement,No Different,61,19784,Average Complications
250117,MS,pneumonia,No Different,207,19462,Average Mortality
360095,OH,heart attack,No Different,159,25206,Average Mortality
110069,GA,heart failure,Less,554,16467,Average Mortality
310081,NJ,hip/knee replacement,Greater,128,23934,Average Complications
320086,NM,pneumonia,No Different,74,16936,Average Mortality
360046,OH,heart failure,No Different,78,18319,Average Mortality
260138,MO,hip/knee replacement,No Different,128,20586,Average Complications
100090,FL,pneumonia,No Different,562,19024,Average Mortality
141331,IL,heart failure,No Different,29,18111,Average Mortality
260190,MO,pneumonia,No Different,157,17946,Average Mortality
20026,AK,pneumonia,Less,209,15856,Average Mortality
10024,AL,pneumonia,No Different,406,18304,Average Mortality
190204,LA,heart failure,Less,141,15624,Average Mortality
110192,GA,heart attack,No Different,125,24976,Average Mortality
30089,AZ,heart attack,No Different,201,25358,Average Mortality
271336,MT,pneumonia,Less,56,15294,Average Mortality
50704,CA,heart failure,Greater,194,19890,Better Mortality
120019,HI,pneumonia,Less,143,16336,Average Mortality
250058,MS,heart failure,Less,309,15897,Average Mortality
51331,CA,pneumonia,Less,76,14817,Average Mortality
50396,CA,hip/knee replacement,No Different,518,21139,Average Complications
10168,AL,heart failure,No Different,30,18051,Average Mortality
150125,IN,hip/knee replacement,Greater,515,21751,Average Complications
240022,MN,heart failure,No Different,52,16990,Average Mortality
340032,NC,pneumonia,No Different,1120,18828,Average Mortality
100062,FL,hip/knee replacement,Greater,116,25700,Average Complications
370173,OK,heart failure,No Different,31,15380,Average Mortality
181325,KY,heart failure,No Different,29,16997,Average Mortality
230118,MI,heart attack,No Different,43,23253,Average Mortality
330106,NY,heart failure,Greater,1604,19791,Better Mortality
140213,IL,heart attack,No Different,314,25003,Average Mortality
171327,KS,heart failure,No Different,35,18344,Average Mortality
110038,GA,pneumonia,No Different,500,18046,Average Mortality
50112,CA,hip/knee replacement,Greater,528,21941,Average Complications
381325,OR,pneumonia,No Different,104,19205,Worse Mortality
340158,NC,hip/knee replacement,Less,414,18735,Average Complications
50152,CA,hip/knee replacement,Less,384,18006,Average Complications
140242,IL,heart failure,No Different,780,18333,Average Mortality
100072,FL,heart failure,No Different,464,18600,Average Mortality
140130,IL,heart failure,Greater,436,19066,Better Mortality
180029,KY,hip/knee replacement,No Different,62,22956,Average Complications
230227,MI,pneumonia,No Different,612,18355,Average Mortality
230151,MI,hip/knee replacement,Less,177,19149,Average Complications
50128,CA,heart attack,No Different,191,24682,Average Mortality
110007,GA,pneumonia,Less,489,17226,Average Mortality
360179,OH,heart attack,No Different,422,25641,Average Mortality
340151,NC,heart failure,Less,345,15703,Average Mortality
180036,KY,heart failure,Less,299,16431,Average Mortality
360012,OH,heart failure,No Different,300,17194,Average Mortality
281301,NE,hip/knee replacement,Less,120,18337,Average Complications
30110,AZ,hip/knee replacement,No Different,32,20330,Average Complications
310028,NJ,pneumonia,Greater,702,20728,Average Mortality
201313,ME,pneumonia,No Different,59,19809,Average Mortality
380001,OR,heart failure,No Different,100,16625,Average Mortality
240076,MN,heart failure,No Different,44,16444,Average Mortality
210051,MD,heart failure,No Different,540,17688,Better Mortality
260068,MO,pneumonia,Greater,758,20022,Average Mortality
360085,OH,pneumonia,Greater,526,20251,Better Mortality
380002,OR,hip/knee replacement,Less,466,16547,Average Complications
110008,GA,hip/knee replacement,Less,258,18696,Average Complications
110028,GA,hip/knee replacement,Less,1116,18611,Average Complications
330203,NY,pneumonia,Less,566,16986,Worse Mortality
230180,MI,heart failure,No Different,89,17095,Average Mortality
241343,MN,pneumonia,No Different,25,20129,Average Mortality
210062,MD,hip/knee replacement,Greater,237,25677,Worse Complications
240040,MN,pneumonia,No Different,63,19696,Average Mortality
100212,FL,pneumonia,Greater,1029,20051,Worse Mortality
70005,CT,pneumonia,No Different,495,19089,Average Mortality
340097,NC,hip/knee replacement,No Different,170,20780,Average Complications
330221,NY,pneumonia,Greater,208,20067,Average Mortality
120006,HI,hip/knee replacement,Less,214,17465,Average Complications
370030,OK,heart failure,No Different,37,16438,Average Mortality
240106,MN,heart failure,No Different,285,17061,Average Mortality
150100,IN,hip/knee replacement,Less,1179,17147,Average Complications
150072,IN,pneumonia,No Different,168,17839,Average Mortality
250094,MS,pneumonia,No Different,259,17355,Average Mortality
30038,AZ,pneumonia,No Different,529,17964,Average Mortality
50336,CA,hip/knee replacement,Less,437,16576,Average Complications
220083,MA,hip/knee replacement,No Different,89,21921,Average Complications
140148,IL,heart attack,No Different,548,25171,Average Mortality
100018,FL,hip/knee replacement,Greater,2314,21923,Average Complications
190013,LA,hip/knee replacement,Less,154,19675,Average Complications
100045,FL,pneumonia,Greater,410,19520,Worse Mortality
330047,NY,heart failure,No Different,252,16487,Worse Mortality
140233,IL,pneumonia,No Different,631,18682,Average Mortality
50424,CA,heart failure,No Different,75,16830,Average Mortality
180105,KY,pneumonia,Less,188,15020,Average Mortality
230303,MI,hip/knee replacement,No Different,51,20020,Average Complications
140001,IL,heart failure,No Different,108,17537,Average Mortality
340073,NC,hip/knee replacement,No Different,469,20464,Average Complications
170023,KS,hip/knee replacement,Greater,155,24013,Average Complications
240075,MN,heart attack,No Different,39,23545,Average Mortality
271340,MT,hip/knee replacement,No Different,34,18862,Average Complications
330395,NY,pneumonia,Greater,387,22679,Worse Mortality
330188,NY,hip/knee replacement,No Different,63,21356,Average Complications
50007,CA,pneumonia,No Different,305,17212,Average Mortality
50036,CA,hip/knee replacement,Less,179,19009,Average Complications
190102,LA,heart failure,No Different,385,18230,Average Mortality
100220,FL,heart attack,No Different,486,26237,Average Mortality
340186,NC,hip/knee replacement,No Different,154,22076,Average Complications
101309,FL,pneumonia,No Different,47,20491,Average Mortality
380091,OR,heart failure,No Different,27,16470,Average Mortality
360036,OH,hip/knee replacement,No Different,243,20963,Average Complications
140093,IL,heart failure,No Different,250,16730,Average Mortality
141344,IL,pneumonia,No Different,81,16805,Average Mortality
330102,NY,hip/knee replacement,No Different,449,20788,Average Complications
330158,NY,pneumonia,Greater,984,21882,Worse Mortality
50100,CA,hip/knee replacement,No Different,369,20609,Average Complications
50678,CA,heart failure,Greater,217,20238,Average Mortality
150007,IN,heart attack,Greater,145,30250,Average Mortality
260094,MO,pneumonia,No Different,425,19007,Average Mortality
220175,MA,hip/knee replacement,Greater,181,23237,Average Complications
340113,NC,heart attack,Less,371,23844,Average Mortality
50135,CA,heart attack,No Different,63,27547,Average Mortality
330224,NY,hip/knee replacement,Less,262,18687,Average Complications
180021,KY,heart failure,Less,73,14738,Average Mortality
280081,NE,pneumonia,No Different,181,18807,Average Mortality
330401,NY,pneumonia,No Different,423,19448,Better Mortality
190088,LA,pneumonia,No Different,119,17393,Average Mortality
100092,FL,hip/knee replacement,Greater,104,22921,Average Complications
360211,OH,heart attack,No Different,210,27461,Average Mortality
10023,AL,heart failure,No Different,435,18260,Average Mortality
60022,CO,pneumonia,No Different,706,18550,Average Mortality
220116,MA,heart attack,Greater,173,29115,Average Mortality
150022,IN,pneumonia,No Different,159,19145,Average Mortality
360230,OH,hip/knee replacement,No Different,629,20601,Average Complications
310014,NJ,heart attack,No Different,272,25413,Average Mortality
310119,NJ,pneumonia,No Different,82,20363,Average Mortality
70010,CT,heart failure,No Different,706,17988,Better Mortality
150030,IN,hip/knee replacement,Greater,393,21858,Worse Complications
100265,FL,heart attack,No Different,393,25970,Average Mortality
360020,OH,hip/knee replacement,Less,109,19314,Average Complications
220033,MA,heart attack,Less,282,22894,Average Mortality
150089,IN,pneumonia,Greater,989,19115,Average Mortality
100287,FL,hip/knee replacement,No Different,99,21648,Average Complications
30014,AZ,pneumonia,Greater,483,20624,Better Mortality
180018,KY,pneumonia,No Different,407,17347,Average Mortality
230038,MI,hip/knee replacement,Less,1081,18820,Average Complications
260102,MO,hip/knee replacement,Less,152,18692,Average Complications
50026,CA,heart attack,No Different,194,27098,Average Mortality
110030,GA,heart attack,No Different,122,25614,Average Mortality
260064,MO,heart attack,No Different,48,23295,Average Mortality
61336,CO,pneumonia,No Different,54,16144,Average Mortality
210043,MD,hip/knee replacement,Less,288,18746,Average Complications
160112,IA,hip/knee replacement,Less,503,18571,Average Complications
150181,IN,heart failure,No Different,30,18469,Average Mortality
200041,ME,heart failure,No Different,74,17468,Average Mortality
190140,LA,heart failure,No Different,34,16803,Average Mortality
110095,GA,heart attack,No Different,158,25433,Average Mortality
340114,NC,heart failure,Less,1229,16971,Better Mortality
180018,KY,heart attack,No Different,109,25821,Average Mortality
200034,ME,hip/knee replacement,No Different,192,21602,Average Complications
50457,CA,heart failure,No Different,216,17007,Average Mortality
50025,CA,pneumonia,No Different,586,19078,Better Mortality
10113,AL,heart attack,No Different,215,25974,Average Mortality
201314,ME,heart attack,No Different,57,22968,Average Mortality
60028,CO,heart failure,No Different,100,18526,Average Mortality
230142,MI,heart attack,No Different,108,25345,Average Mortality
140258,IL,pneumonia,Greater,727,19611,Better Mortality
50568,CA,heart failure,No Different,106,16040,Average Mortality
210038,MD,pneumonia,No Different,90,18975,Average Mortality
231337,MI,heart failure,Less,87,15644,Average Mortality
140127,IL,heart attack,No Different,117,24479,Average Mortality
341317,NC,pneumonia,No Different,35,16876,Average Mortality
110006,GA,heart failure,No Different,236,16382,Worse Mortality
170086,KS,hip/knee replacement,Less,1059,18211,Average Complications
40027,AR,heart attack,Greater,325,28151,Average Mortality
381302,OR,pneumonia,No Different,77,18689,Average Mortality
10091,AL,heart failure,No Different,29,17047,Average Mortality
331316,NY,pneumonia,No Different,57,18889,Average Mortality
190019,LA,pneumonia,No Different,531,18667,Average Mortality
60013,CO,heart failure,Less,145,15930,Average Mortality
360012,OH,heart attack,No Different,165,24917,Average Mortality
220066,MA,hip/knee replacement,No Different,275,20780,Average Complications
100256,FL,heart attack,No Different,273,24307,Average Mortality
130025,ID,heart failure,No Different,45,16323,Average Mortality
